lineups,team,gp,offrtg,defrtg,netrtg,ast_percent,ast_to,ast_ratio,oreb_percent,dreb_percent,reb_percent,to_ratio,efg_percent,ts_percent,pace,pie,lineup_index,s_curry,d_green,k_bazemore,a_wiggins,k_looney,k_oubre_jr,j_wiseman,j_toscano_anderson,b_wanamaker,d_lee,e_paschall,m_mulder,j_poole,n_mannion,g_payton_ii,a_smailagic,m_chriss,j_bell
".S. Curry, .D. Green, .K. Bazemore, .A. Wiggins, .K. Looney",GSW,28,116,106.7,9.3,73.6,2,22.3,27.9,75.2,52.5,0.2,59.7,61.3,101.54,55.1,339,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".S. Curry, .D. Green, .K. Bazemore, .A. Wiggins, .K. Looney",GSW,28,116,106.7,9.3,73.6,2,22.3,27.9,75.2,52.5,0.2,59.7,61.3,101.54,55.1,339,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".S. Curry, .D. Green, .K. Bazemore, .A. Wiggins, .K. Looney",GSW,28,116,106.7,9.3,73.6,2,22.3,27.9,75.2,52.5,0.2,59.7,61.3,101.54,55.1,339,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".S. Curry, .D. Green, .K. Bazemore, .A. Wiggins, .K. Looney",GSW,28,116,106.7,9.3,73.6,2,22.3,27.9,75.2,52.5,0.2,59.7,61.3,101.54,55.1,339,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".S. Curry, .D. Green, .K. Bazemore, .A. Wiggins, .K. Looney",GSW,28,116,106.7,9.3,73.6,2,22.3,27.9,75.2,52.5,0.2,59.7,61.3,101.54,55.1,339,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".S. Curry, .D. Green, .K. Bazemore, .A. Wiggins, .K. Looney",GSW,28,116,106.7,9.3,73.6,2,22.3,27.9,75.2,52.5,0.2,59.7,61.3,101.54,55.1,339,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".S. Curry, .D. Green, .K. Bazemore, .A. Wiggins, .K. Looney",GSW,28,116,106.7,9.3,73.6,2,22.3,27.9,75.2,52.5,0.2,59.7,61.3,101.54,55.1,339,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".S. Curry, .D. Green, .K. Bazemore, .A. Wiggins, .K. Looney",GSW,28,116,106.7,9.3,73.6,2,22.3,27.9,75.2,52.5,0.2,59.7,61.3,101.54,55.1,339,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".S. Curry, .D. Green, .K. Bazemore, .A. Wiggins, .K. Looney",GSW,28,116,106.7,9.3,73.6,2,22.3,27.9,75.2,52.5,0.2,59.7,61.3,101.54,55.1,339,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".S. Curry, .D. Green, .K. Bazemore, .A. Wiggins, .K. Looney",GSW,28,116,106.7,9.3,73.6,2,22.3,27.9,75.2,52.5,0.2,59.7,61.3,101.54,55.1,339,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".S. Curry, .D. Green, .K. Bazemore, .A. Wiggins, .K. Looney",GSW,28,116,106.7,9.3,73.6,2,22.3,27.9,75.2,52.5,0.2,59.7,61.3,101.54,55.1,339,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
