lineups,team,gp,offrtg,defrtg,netrtg,ast_percent,ast_to,ast_ratio,oreb_percent,dreb_percent,reb_percent,to_ratio,efg_percent,ts_percent,pace,pie,lineup_index,t_harris,t_burke,n_pelle,j_richardson,f_korkmaz,m_thybulle,b_simmons,j_ennis_iii,j_embiid,r_neto,z_smith,s_milton,g_robinson_iii,m_scott,k_o_quinn,j_bolden,m_shayok,a_horford,a_burks
".T. Harris, .T. Burke, .N. Pelle, .J. Richardson, .F. Korkmaz",PHI,3,125,66.7,58.3,100,2,28.6,50,100,75,0.3,62.5,62.5,96.64,57.1,480,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .T. Burke, .N. Pelle, .J. Richardson, .F. Korkmaz",PHI,3,125,66.7,58.3,100,2,28.6,50,100,75,0.3,62.5,62.5,96.64,57.1,480,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .T. Burke, .N. Pelle, .F. Korkmaz, .M. Thybulle",PHI,1,0,0,0,0,0,0,0,100,50,0,0,0,135,80,479,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .T. Burke, .N. Pelle, .B. Simmons, .M. Thybulle",PHI,1,42.9,133.3,-90.5,100,0.33,11.1,50,100,66.7,0.4,33.3,38.7,102.3,-26.7,478,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .T. Burke, .N. Pelle, .B. Simmons, .M. Thybulle",PHI,1,42.9,133.3,-90.5,100,0.33,11.1,50,100,66.7,0.4,33.3,38.7,102.3,-26.7,478,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .T. Burke, .N. Pelle, .B. Simmons, .M. Thybulle",PHI,1,42.9,133.3,-90.5,100,0.33,11.1,50,100,66.7,0.4,33.3,38.7,102.3,-26.7,478,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .T. Burke, .J. Ennis III, .N. Pelle, .J. Richardson",PHI,2,50,123.1,-73.1,66.7,0.67,11.8,37.5,50,42.9,0.3,27.3,27.3,95.24,-3.2,477,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .T. Burke, .J. Ennis III, .N. Pelle, .J. Richardson",PHI,2,50,123.1,-73.1,66.7,0.67,11.8,37.5,50,42.9,0.3,27.3,27.3,95.24,-3.2,477,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .T. Burke, .J. Ennis III, .N. Pelle, .J. Richardson",PHI,2,50,123.1,-73.1,66.7,0.67,11.8,37.5,50,42.9,0.3,27.3,27.3,95.24,-3.2,477,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .T. Burke, .J. Ennis III, .N. Pelle, .J. Richardson",PHI,2,50,123.1,-73.1,66.7,0.67,11.8,37.5,50,42.9,0.3,27.3,27.3,95.24,-3.2,477,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
