lineups,team,gp,offrtg,defrtg,netrtg,ast,ast_to,ast_ratio,oreb,dreb,reb,to_ratio,efg,ts,pace,pie,ast_percent,ast_to_2,oreb_percent,dreb_percent,reb_percent,efg_percent,ts_percent,lineup_index,d_green,t_harris,s_curry,j_embiid,b_simmons,m_scott,d_howard,f_korkmaz,s_milton,m_thybulle,t_bradley,t_maxey,g_hill,a_tolliver,i_joe,d_mathias,p_reed,r_tucker,m_jones,t_ferguson,g_clark,v_poirier,i_brazdeikis
".D. Green, .T. Harris, .S. Curry, .J. Embiid, .B. Simmons",PHI,32,117.7,103.7,14,60.9,2.02,19,21.7,76,50.7,0.1,57.9,62.1,100.57,58.9,NA,NA,NA,NA,NA,NA,NA,104,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .T. Harris, .S. Curry, .J. Embiid, .B. Simmons",PHI,32,117.7,103.7,14,60.9,2.02,19,21.7,76,50.7,0.1,57.9,62.1,100.57,58.9,NA,NA,NA,NA,NA,NA,NA,104,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .T. Harris, .S. Curry, .J. Embiid, .B. Simmons",PHI,32,117.7,103.7,14,60.9,2.02,19,21.7,76,50.7,0.1,57.9,62.1,100.57,58.9,NA,NA,NA,NA,NA,NA,NA,104,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .T. Harris, .S. Curry, .J. Embiid, .B. Simmons",PHI,32,117.7,103.7,14,60.9,2.02,19,21.7,76,50.7,0.1,57.9,62.1,100.57,58.9,NA,NA,NA,NA,NA,NA,NA,104,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .T. Harris, .S. Curry, .J. Embiid, .B. Simmons",PHI,32,117.7,103.7,14,60.9,2.02,19,21.7,76,50.7,0.1,57.9,62.1,100.57,58.9,NA,NA,NA,NA,NA,NA,NA,104,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .T. Harris, .S. Curry, .J. Embiid, .B. Simmons",PHI,32,117.7,103.7,14,60.9,2.02,19,21.7,76,50.7,0.1,57.9,62.1,100.57,58.9,NA,NA,NA,NA,NA,NA,NA,104,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .T. Harris, .S. Curry, .J. Embiid, .B. Simmons",PHI,32,117.7,103.7,14,60.9,2.02,19,21.7,76,50.7,0.1,57.9,62.1,100.57,58.9,NA,NA,NA,NA,NA,NA,NA,104,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .T. Harris, .S. Curry, .J. Embiid, .B. Simmons",PHI,32,117.7,103.7,14,60.9,2.02,19,21.7,76,50.7,0.1,57.9,62.1,100.57,58.9,NA,NA,NA,NA,NA,NA,NA,104,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .T. Harris, .S. Curry, .J. Embiid, .B. Simmons",PHI,32,117.7,103.7,14,60.9,2.02,19,21.7,76,50.7,0.1,57.9,62.1,100.57,58.9,NA,NA,NA,NA,NA,NA,NA,104,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .T. Harris, .S. Curry, .J. Embiid, .B. Simmons",PHI,32,117.7,103.7,14,60.9,2.02,19,21.7,76,50.7,0.1,57.9,62.1,100.57,58.9,NA,NA,NA,NA,NA,NA,NA,104,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
